,category,sub category,website,url,Index,Search key
0,,,Theblaze.Com,https://www.theblaze.com/,150,Do Not Sell or Share My Personal Information
1,,,Westernjournalism.Com,https://www.westernjournal.com/,151,
2,,,Theweek.Com,https://theweek.com/,152,Do Not Sell My Information
3,,,Washingtontimes.Com,https://www.washingtontimes.com/,153,
4,,,Infowars.Com,https://www.infowars.com/,154,
5,,,Lifenews.Com,https://www.lifenews.com/,155,
6,,,Washingtonexaminer.Com,https://www.washingtonexaminer.com/,156,
7,,Liberal Websites,Cnn.Com,https://www.cnn.com/,157,
8,,,Huffingtonpost.Com,https://www.huffpost.com/,158,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
9,,,Nytimes.Com,https://www.nytimes.com/,159,
10,,,Politico.Com,https://www.politico.com/,160,Do not sell my info
11,,,Slate.Com,https://slate.com/,161,
12,,,Rollingstone.Com,https://www.rollingstone.com/,162,
13,,,Abcnews.Go.Com,https://abcnews.go.com/,163,Do Not Sell or Share My Personal Information
14,,,Dailykos.Com,https://www.dailykos.com/,164,Do Not Sell My Info
15,,,Washingtonpost.Com,https://www.washingtonpost.com/,165,
16,,,Time.Com,https://time.com/,166,Do Not Sell My Personal Information
17,,,Theatlantic.Com,https://www.theatlantic.com/,167,Do Not Sell Or Share My Personal Information
18,,,Rawstory.Com,https://www.rawstory.com/,168,
19,,,Nbcnews.Com,https://www.nbcnews.com/,169,DO NOT SELL MY PERSONAL INFORMATION
20,,,Salon.Com,https://www.salon.com/,170,
21,,,Newyorker.Com,https://www.newyorker.com/,171,
22,,,Thedailybeast.Com,https://www.thedailybeast.com/,172,
23,,,Alternet.Org,https://www.alternet.org/,173,
24,,,Politifact.Com,https://www.politifact.com/,174,
25,,,Credoaction.Com,https://www.credoaction.com/,175,
26,,,Thinkprogress.Org,https://thinkprogress.org/,176,Do not sell or share my personal information.
27,,Newspapers Websites,Nytimes.Com,https://www.nytimes.com/,177,
28,,,Dailymail.Co.Uk,https://www.dailymail.co.uk/ushome/index.html,178,Do not sell or share my personal information
29,,,Thehill.Com,https://thehill.com/,179,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
30,,,Nydailynews.Com,https://www.nydailynews.com/,180,Do Not Sell/Share My Personal Information
31,,,Independent.Co.Uk,https://www.independent.co.uk/us,181,
32,,,Usatoday.Com,https://www.usatoday.com/,182,
33,,,Telegraph.Co.Uk,https://www.telegraph.co.uk/,183,
34,,,Latimes.Com,https://www.latimes.com/,184,Do Not Sell or Share My Personal Information
35,,,Washingtonpost.Com,https://www.washingtonpost.com/,185,
36,,Crowdfunding Sites Websites,Kickstarter.Com,https://www.kickstarter.com/,186,Do Not Sell My Personal Information
37,,,Gofundme.Com,https://www.gofundme.com/,187,
38,,,Patreon.Com,https://www.patreon.com/,188,
39,,,Angel.Co,https://www.patreon.com/,189,
40,,,Lendingclub.Com,https://www.lendingclub.com/,190,
41,,,Justgiving.Com,https://justgiving.com/,191,
42,Pets & Animals,Birding Websites,Allaboutbirds.Org,https://www.allaboutbirds.org/news/,192,
43,,,Audubon.Org,https://www.audubon.org/,193,
44,,Pet Stores,Petsmart.Com,https://www.petsmart.com/,194,
45,,,Petco.Com,https://www.petco.com/shop/en/petcostore,195,
46,,,Chewy.Com,https://www.chewy.com/,196,
47,,,1800Petmeds.Com,https://www.1800petmeds.com/,197,
48,,,Hillspet.Com,https://www.hillspet.com/,198,Do Not Sell My Personal Information
49,,,Petcarerx.Com,https://www.petcarerx.com/,199,
0,,,Petsuppliesplus.Com,https://www.petsuppliesplus.com/,200,
1,,Pet Websites,Akc.Org,https://www.akc.org/,201,
2,,,Iheartdogs.Com,https://iheartdogs.com/,202,
3,,,Dogtime.Com,https://dogtime.com/,203,
4,,,Petsmart.Com,https://www.petsmart.com/,204,
5,,,Petfinder.Com,https://www.petfinder.com/,205,DO NOT SELL OR SHARE MY PERSONAL INFORMATION
6,,,Petco.Com,https://www.petco.com/shop/en/petcostore,206,
7,,,Petmd.Com,https://www.petmd.com/,207,
8,,,Adoptapet.Com,https://www.adoptapet.com/,208,
9,,,Cesarsway.Com,https://www.cesarsway.com/,209,
10,,,Vetstreet.Com,https://www.vetstreet.com/,210,
11,,,Dogbreedinfo.Com,http://dogbreedinfo.com/,211,
12,,,Peta.Org,https://www.peta.org/,212,
13,,,Puppyfind.Com,https://puppies.com/,213,
14,,,Backyardchickens.Com,https://www.backyardchickens.com/,214,Do not sell or share my personal information.
15,,,Dogster.Com,https://www.dogster.com/,215,DO NOT SELL MY INFORMATION
16,,,Yourpurebredpuppy.Com,https://www.yourpurebredpuppy.com/,216,
17,,,Thecatsite.Com,https://thecatsite.com/,217,Do not sell or share my personal information.
18,,,Thedodo.Com,https://www.thedodo.com/,218,Do Not Sell or Share My Personal Information
19,Publishing,Best Book Websites,Amazon.Com,https://www.amazon.com/,219,
20,,,Ebrary.Com,https://about.proquest.com/en/products-services/ebooks-main/,220,
21,,,Goodreads.Com,https://www.goodreads.com/,221,
22,,,Cambridge.Org,https://www.cambridge.org/,222,
23,,,Overstock.Com,https://www.overstock.com/,223,
24,,,Scribd.Com,https://www.scribd.com/,224,Do not sell or share my personal information
25,,,Barnesandnoble.Com,https://www.barnesandnoble.com/,225,
26,,,Wattpad.Com,https://www.wattpad.com/,226,
27,,,Wiley.Com,https://www.wiley.com/en-us,227,
28,,,Ebook3000.Com,http://ebook3000.com/,228,
29,,,Hmhco.Com,https://www.hmhco.com/,229,
30,,,Springer.Com,https://www.springer.com/us,230,
31,,,Issuu.Com,https://issuu.com/,231,
32,,,Audible.Com,https://www.audible.com/,232,
33,,,Chegg.Com,https://www.chegg.com/,233,DO NOT SELL MY INFO
34,,,Mheducation.Com,https://www.mheducation.com/,234,
35,,,Scholastic.Com,https://www.scholastic.com/home,235,Do Not Sell My Info
36,,,Jstor.Org,https://www.jstor.org/,236,
37,,Book Review Websites,Goodreads.Com,https://www.goodreads.com/,237,
38,,,Publishersweekly.Com,https://www.publishersweekly.com/,238,Do Not Sell
39,,,Westeros.Org,https://westeros.org/,239,
40,,,Nybooks.Com,https://www.nybooks.com/,240,
41,,,Librarything.Com,https://www.librarything.com/,241,
42,,,Kirkusreviews.Com,https://www.kirkusreviews.com/,242,
43,,,Ebookfriendly.Com,https://ebookfriendly.com/,243,
44,,EBook Sites,Ebrary.Com,https://about.proquest.com/en/products-services/ebooks-main/,244,
45,,,Ebook3000.Com,http://ebook3000.com/,245,
46,,,Wikibooks.Org,https://www.wikibooks.org/,246,
47,,,Overdrive.Com,https://www.overdrive.com/,247,
48,,,Freemake.Com,https://www.freemake.com/,248,
49,,,Bookdepository.Com,https://www.bookdepository.com/,249,
0,,Sports Websites,Espn.Com,https://www.espn.com/,499,Do Not Sell or Share My Personal Information
1,,,Sports.Yahoo.Com,https://sports.yahoo.com/,500,
2,,,90Min.Com,https://www.90min.com/,501,
3,,,Si.Com,https://www.si.com/,502,
4,,,Mlb.Com,https://www.mlb.com/,503,
5,,,Foxsports.Com,https://www.foxsports.com/,504,
6,,,Cbssports.Com,https://www.cbssports.com/,505,DO NOT SELL MY PERSONAL INFORMATION
7,,,Skihood.Com,https://skihood.com/,506,
8,,,Sbnation.Com,https://www.sbnation.com/,507,Do Not Sell or Share My Personal Info
9,,Telecommunication,Cloudflare.Com,https://www.cloudflare.com/,508,
10,,,Akamai.Com,https://www.akamai.com/,509,
11,,,Level3.Com,https://www.lumen.com/en-us/home.html,510,
12,,,Liquidweb.Com,https://www.liquidweb.com/,511,
13,,,Limelight.Com,https://edg.io/,512,
14,,,Keycdn.Com,https://www.keycdn.com/,513,
15,,,Equinix.Com,https://www.equinix.com/,514,
16,,,Cdnetworks.Com,https://www.cdnetworks.com/,515,
17,,,Getambassador.Com,https://www.getambassador.com/,516,
18,,,Aws.Amazon.Com,https://aws.amazon.com/?aws-products-all.sort-by=item.additionalFields.productNameLowercase&aws-products-all.sort-order=asc&awsf.re%3AInvent=*all&awsf.Free%20Tier%20Type=*all&awsf.tech-category=*all,517,
