,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,index,Index
0,0,975,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627,627
1,1,201,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34,34
2,2,759,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102,102
3,3,295,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112,112
4,4,223,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018,1018
5,5,610,brainpop_949,2-Feb,Check,"do not sell

2/2",No,Yes,Do not sell or share my personal information,949,949
6,6,73,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1016,1016
7,7,958,cirquedusoleil_999,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,999,999
8,8,754,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508,508
9,9,530,coach_717,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,717,717
10,10,984,com_871,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,871,871
11,11,854,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77,77
12,12,872,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35,35
13,13,576,dxl_742,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,742,742
14,14,410,economist_1029,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1029,1029
15,15,998,eyebuydirect_772,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,772,772
16,16,186,eyebuydirect_774,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,774,774
17,17,591,finishline_761,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,761,761
18,18,638,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2,2
19,19,630,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0,0
20,20,635,foodnetwork_971,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,971,971
21,21,484,gap_691,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,691,691
22,22,732,gilt_847,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,847,847
23,23,963,gq_861,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,861,861
24,24,123,harryanddavid_32,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,32,32
25,25,913,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120,120
26,26,1076,howstuffworks_444,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,444,444
27,27,705,howstuffworks_940,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,940,940
28,28,44,jared_718,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,718,718
29,29,197,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131,131
30,30,547,katespade_715,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,715,715
31,31,328,kay_708,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,708,708
32,32,478,libertymutual_1059,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1059,1059
33,33,496,libertymutual_1061,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1061,1061
34,34,130,menswearhouse_739,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,739,739
35,35,129,mlb_503,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,503,503
36,36,61,nature_400,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,400,400
37,37,232,nature_426,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,426,426
38,38,493,nba_478,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,478,478
39,39,1067,pcworld_674,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,674,674
40,40,935,petco_195,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,195,195
41,41,337,petco_206,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,206,206
42,42,280,prada_773,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,773,773
43,43,575,safeway_26,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,26,26
44,44,462,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4,4
45,45,1012,saveur_585,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,585,585
46,46,144,sears_366,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,366,366
47,47,306,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113,113
48,48,275,springer_230,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,230,230
49,49,848,techadvisor_676,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,676,676
50,50,418,thumbtack_277,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,277,277
51,51,755,toryburch_710,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,710,710
