,Index,Text,Block
0,443,#ERROR!,Yes
1,762,"wey Access Denied

‘You don't have permission to access ""http://www. famousfootwear.com/"" on this server.

Reference #18.198d2117.1681565653.b94072d",Yes
7,40,"wey Access Denied

‘You don't have permission to access ""http://order.subway.com/en-US"" on this server.

Reference #18.f9d0df17.1681508075.60a22647",Yes
9,689,"You have been blocked.

Why? Something about the behaviour of the browser has caught our attention.

There are various possible explanations for this:
You are browsing and clicking at a speed much faster than expected of a human
being.
- Something is preventing JavaScript from working on your computer.
- There is a robot on the same network (IP 37.19.210.31) as you.

Having problems accessing the site? Submit feedback.
ID: 7e32abc7-4e64-88 1f-d5c2-a8175de02dd3",Yes
10,324,"@ UT le

One more step

To access comparethemarket.com please complete the security check to prove you
are human

xa

Verify you are human c.oupFuane

Why do I have to complete a CAPTCHA and what can | do to prevent this i
the future?

Ifyou are on a personal connection, like at home, you can run an anti-viru

your device to make sure it is not infected with a virus or malware

Ifyou are at an offi s network, you can ask the network administrator to run

a scan across the network looking for misconfigured or infected devices

Your IP is: 37.19.210.31
The unique Ray ID for this page is: 7b808c704faf 1f3e

 

Ce Rec ee cc cd er ee NC SPO eae ee eM eee
Peterborough, PE2 6YS. Compare The Market Limited is authorised and regulated by the Financial Conduct Authority for insurance distribution (Firm Reference Number: 778488)
Energy and Digital products are not regulated by the FCA.",Yes
14,621,"@ pcpartpicker.com

Checking if the site connection is secure

Verify youare human crouse

Pcpartpicker.com needs to review the security of your connection before
Proceeding.

Why am I seeing this page? V

Ray ID: 7b83d98F8C70b496

Performance & security by Cloudflare",Yes
16,346,"Terms of Use Privacy Policy DBNGESSIMYBERSRSIIBFOHNEEON Request My Personal Information

se
as

Robot or human?

Activate and hold the button to confirm that,
you're human. Thank You!

PRESS & HOLD

Irya different method

(©2023 Walmart Stores, Inc.",Yes
21,359,"wey Access Denied

‘You don't have permission to access ""http://www.lowes.com/"" on this server.

Reference #18.a4592117.1681525358.a0922a7",Yes
23,697,"SSENSE

Press & Hold to confirm you are
a human (and not a bot).

/ \
( Press & Hold )
\ /",Yes
24,206,"petco.

Whoops! We can't find what you're looking for right now

Please try again in a few minutes. If you continue to have a problem, call Customer Service at 1 (844) 300-2655 and provide this error
number:

Access denied

You do not have access to www.petco.com.
The site owner may have set restrictions that prevent you from accessing the site.

Ray ID: 7b7feee04d541f2d
Timestamp: 2023-04-15 00:04:46 UTC

Your IP address: 37.19.210.10

Requested URL: www.petco.com/shop/en/petcostore

Error reference number: 1020

Server ID: FL_98F87

User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Yes
