,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,index,Index
0,0,974,1ink_627,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,627,627
1,1,335,airforce_786,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,786,786
2,2,201,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34,34
3,3,758,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102,102
4,4,295,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112,112
5,5,223,bloomberg_1018,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1018,1018
6,6,609,brainpop_949,2-Feb,Check,"do not sell

2/2",No,Yes,Do not sell or share my personal information,949,949
7,7,73,businessinsider_1016,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,1016,1016
8,8,957,cirquedusoleil_999,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,999,999
9,9,753,cloudflare_508,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,508,508
10,10,529,coach_717,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,717,717
11,11,983,com_871,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,871,871
12,12,530,com_997,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,997,997
13,13,852,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77,77
14,14,999,dogster_215,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,215,215
15,15,870,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35,35
16,16,575,dxl_742,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,742,742
17,17,997,eyebuydirect_772,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,772,772
18,18,186,eyebuydirect_774,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,774,774
19,19,590,finishline_761,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,761,761
20,20,637,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2,2
21,21,629,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0,0
22,22,634,foodnetwork_971,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,971,971
23,23,484,gap_691,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,691,691
24,24,731,gilt_847,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,847,847
25,25,123,harryanddavid_32,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,32,32
26,26,912,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120,120
27,27,1074,howstuffworks_444,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,444,444
28,28,704,howstuffworks_940,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,940,940
29,29,44,jared_718,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,718,718
30,30,197,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131,131
31,31,328,kay_708,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,708,708
32,32,478,libertymutual_1059,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1059,1059
33,33,496,libertymutual_1061,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,1061,1061
34,34,130,menswearhouse_739,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,739,739
35,35,129,mlb_503,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,503,503
36,36,61,nature_400,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,400,400
37,37,232,nature_426,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,426,426
38,38,493,nba_478,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,478,478
39,39,1065,pcworld_674,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,674,674
40,40,790,porsche_821,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,821,821
41,41,280,prada_773,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,773,773
42,42,574,safeway_26,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,26,26
43,43,462,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4,4
44,44,1011,saveur_585,2-Apr,Check,"do not sell

1/2",No,Yes,Do not sell or share my personal information,585,585
45,45,144,sears_366,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,366,366
46,46,306,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113,113
47,47,275,springer_230,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,230,230
48,48,370,tasteofhome_11,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,11,11
49,49,846,techadvisor_676,1,Yes,"do not sell

""1",No,Yes,California residents: do not sell my info,676,676
50,50,418,thumbtack_277,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,277,277
51,51,754,toryburch_710,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,710,710
52,52,446,toryburch_848,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,848,848
53,53,153,travelchannel_583,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,583,583
54,54,304,trivago_578,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,578,578
55,55,649,udemy_885,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,885,885
56,56,503,udemy_939,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,939,939
57,57,905,westmarine_837,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,837,837
58,58,560,wonderhowto_947,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,947,947
59,59,674,zales_706,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,706,706
60,60,342,zara_692,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,692,692
61,61,301,zdnet_679,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,679,679
