,Unnamed: 0,filename,Index,Check,Text,Presence confirm
0,0,,0,True,,No
1,1,,1,True,,No
2,2,,2,True,,No
3,3,,3,False,,No
4,4,,4,True,,No
5,5,seriouseats_5,5,True,Do not sell my personal information,Yes
6,6,,6,True,,No
7,7,eater_7,7,True,Do not sell or share my personal information,Yes
8,8,thrillist_8,8,True,Do not sell or share my personal information,Yes
9,9,myrecipes_9,9,True,California residents: do not sell my info,Yes
10,10,,10,True,,No
11,11,,11,True,,No
12,12,,12,True,,No
13,13,marthastewart_13,13,True,California residents: do not sell my info,Yes
14,14,,14,True,,No
15,15,,15,True,,No
16,16,,16,True,,No
17,17,grubhub_17,17,True,Do not sell my personal information,Yes
18,18,,18,False,,No
19,19,seamless_19,19,True,Do not sell my personal information,Yes
20,20,,20,True,,No
21,21,,21,False,,No
22,22,doordash_22,22,True,Do not sell or share my personal information,Yes
23,23,,23,True,,No
24,24,trycaviar_24,24,True,Do not sell or share my personal information,Yes
25,25,,25,False,,No
26,26,,26,True,,No
27,27,,27,True,,No
28,28,,28,True,,No
29,29,,29,True,,No
30,30,,30,True,,No
31,31,berries_31,31,True,Do not sell my personal information,Yes
32,32,,32,False,,No
33,33,,33,True,,No
34,34,,34,True,,No
35,35,,35,True,,No
36,36,,36,True,,No
37,37,,37,True,,No
38,38,,38,True,,No
39,39,mcdonalds_39,39,True,Do not sell or share my personal information,Yes
40,40,,40,True,,No
41,41,olivegarden_41,41,True,Do not sell or share my personal information,Yes
42,42,,42,True,,No
43,43,jimmyjohns_43,43,True,Do not sell my personal information,Yes
44,44,tacobell_44,44,True,Do not sell or share my personal information,Yes
45,45,,45,True,,No
46,46,,46,True,,No
47,47,,47,True,,No
48,48,,48,True,,No
49,49,,49,True,,No
50,50,,50,False,,No
51,51,,51,True,,No
52,52,myfitnesspal_52,52,True,Do not sell my personal information,Yes
53,53,,53,True,,No
54,54,weightwatchers_54,54,True,Do not sell my personal information,Yes
55,55,,55,True,,No
56,56,,56,True,,No
57,57,,57,True,,No
58,58,,58,True,,No
59,59,,59,True,,No
60,60,,60,True,,No
61,61,,61,True,,No
62,62,,62,False,,No
63,63,,63,True,,No
64,64,,64,True,,No
65,65,,65,True,,No
66,66,,66,True,,No
67,67,,67,True,,No
68,68,,68,True,,No
69,69,medicinenet_69,69,True,Do not sell my personal information,Yes
70,70,,70,True,,No
71,71,,71,True,,No
72,72,,72,True,,No
73,73,,73,True,,No
74,74,everydayhealth_74,74,True,Do not sell my personal information,Yes
75,75,,75,False,,No
76,76,,76,True,,No
77,77,,77,True,,No
78,78,rxlist_78,78,True,Do not sell my personal information,Yes
79,79,,79,True,,No
80,80,riteaid_80,80,True,Do not sell or share my personal information,Yes
81,81,,81,True,,No
82,82,,82,False,,No
83,83,,83,True,,No
84,84,,84,True,,No
85,85,,85,True,,No
86,86,,86,True,,No
87,87,everydayhealth_87,87,True,,No
88,88,shape_88,88,True,Do not sell my personal information,Yes
89,89,,89,True,,No
90,90,,90,True,,No
91,91,,91,True,,No
92,92,,92,True,,No
93,93,com_93,93,True,Do not sell or share my personal information,Yes
94,94,,94,True,,No
95,95,,95,True,,No
96,96,,96,True,,No
97,97,redbubble_97,97,True,Do not sell my personal information,Yes
98,98,1stdibs_98,98,True,Do not sell my personal information,Yes
99,99,,99,True,,No
100,100,,100,True,,No
101,101,,101,True,,No
102,102,,102,True,,No
103,103,,103,True,,No
104,104,saatchiart_104,104,True,Do not sell my personal information,Yes
105,105,,105,True,,No
106,106,,106,True,,No
107,107,,107,True,,No
108,108,,108,True,,No
109,109,,109,True,,No
110,110,biglots_110,110,True,Do not sell my personal information,Yes
111,111,worldmarket_111,111,True,Do not sell or share my personal information,Yes
112,112,,112,True,,No
113,113,,113,True,,No
114,114,,114,True,,No
115,115,gardeningknowhow_115,115,True,Do not sell or share my personal information,Yes
116,116,treehugger_116,116,True,Do not sell my personal information,Yes
117,117,gardenweb_117,117,True,Do not sell my personal information,Yes
118,118,,118,True,,No
119,119,houzz_119,119,True,Do not sell my personal information,Yes
120,120,,120,True,,No
121,121,,121,True,,No
122,122,,122,True,,No
123,123,marthastewart_123,123,True,California residents: do not sell my info,Yes
124,124,,124,False,,No
125,125,bhg_125,125,True,Do not sell my personal information,Yes
126,126,curbed_126,126,True,Do not sell or share my personal information,Yes
127,127,,127,True,,No
128,128,,128,True,,No
129,129,,129,True,,No
130,130,,130,False,,No
131,131,,131,True,,No
132,132,craftsy_132,132,True,Do not sell my personal information,Yes
133,133,,133,False,,No
134,134,,134,True,,No
135,135,officedepot_135,135,True,Do not sell my personal information,Yes
136,136,staples_136,136,True,Do not sell or share my personal information,Yes
137,137,vistaprint_137,137,True,Do not sell my personal information,Yes
138,138,,138,True,,No
139,139,,139,True,,No
140,140,,140,True,,No
141,141,,141,False,,No
142,142,,142,False,,No
143,143,,143,True,,No
144,144,,144,True,,No
145,145,,145,False,,No
146,146,,146,True,,No
147,147,,147,True,,No
148,148,com_148,148,True,California residents: do not sell my info,Yes
149,149,,149,True,,No
150,150,theblaze_150,150,True,Do not sell or share my personal information,Yes
151,151,,151,True,,No
152,152,com_152,152,True,Do not sell my personal information,Yes
153,153,,153,True,,No
154,154,,154,False,,No
155,155,,155,True,,No
156,156,,156,True,,No
157,157,,157,True,,No
158,158,huffpost_158,158,True,Do not sell or share my personal information,Yes
159,159,,159,True,,No
160,160,politico_160,160,True,Do not sell my personal information,Yes
161,161,,161,True,,No
162,162,,162,True,,No
163,163,go_163,163,True,Do not sell or share my personal information,Yes
164,164,dailykos_164,164,True,Do not sell my personal information,Yes
165,165,,165,True,,No
166,166,com_166,166,True,Do not sell my personal information,Yes
