,Unnamed: 0.1,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,index,Index
0,0,16,harryanddavid_32,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,32,32
1,1,29,joann_131,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,131,131
2,2,30,albertsons_34,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,34,34
3,3,39,ashleyfurniture_112,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,112,112
4,4,41,sleepnumber_113,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,113,113
5,5,46,tasteofhome_11,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,11,11
6,6,61,safeway_4,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,4,4
7,7,72,safeway_26,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,26,26
8,8,81,foodnetwork_0,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,0,0
9,9,82,food_2,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,2,2
10,10,96,artsy_102,1,Yes,"do not sell

""1",No,Yes,Do not sell my personal information,102,102
11,11,110,cvs_77,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,77,77
12,12,112,dominos_35,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,35,35
13,13,118,hgtv_120,1,Yes,"do not sell

""1",No,Yes,Do not sell or share my personal information,120,120
