,Unnamed: 0,category,sub category,website,url,Index,Search key
0,0,,,Usaa.Com,https://www.usaa.com/,1043,
1,1,,,Discover.Com,https://www.discover.com/,1044,
2,2,,,Usbank.Com,https://www.usbank.com/index.html,1045,
3,3,,,Citibankonline.Com,https://www.citi.com/,1046,Do Not Sell or Share My Personal Information
4,4,,,Pnc.Com,https://www.pnc.com/en/personal-banking.html,1047,
5,5,,,Capitalone360.Com,https://www.capitalone.com/bank/,1048,
6,6,,,Schwab.Com,https://www.schwab.com/,1049,Do Not Sell or Share My Personal Information
7,7,,,Tdbank.Com,https://www.td.com/us/en/personal-banking,1050,
8,8,,Finance Websites,Paypal.Com,https://www.paypal.com/us/home,1051,
9,9,,,Hrblock.Com,https://www.hrblock.com/,1052,
10,10,,,Chase.Com,https://www.chase.com/,1053,
11,11,,,Forbes.Com,https://www.forbes.com/?sh=112eecaf2254,1054,
12,12,,,Wellsfargo.Com,https://www.wellsfargo.com/,1055,
13,13,,,Intuit.Com,https://www.intuit.com/,1056,
14,14,,,Irs.Gov,https://www.irs.gov/,1057,
15,15,,,Marketwatch.Com,https://www.marketwatch.com/,1058,Do Not Sell or Share My Personal Information
16,16,,,Libertymutual.Com,https://www.libertymutual.com/,1059,
17,17,,,Fidelity.Com,https://www.fidelity.com/,1060,
18,18,,Best Insurance Websites,https://www.libertymutual.com/,https://www.libertymutual.com/,1061,
19,19,,,Usaa.Com,https://www.usaa.com/,1062,
20,20,,,Statefarm.Com,https://www.statefarm.com/,1063,Do Not Sell or Share My Personal Information (CA residents only)
21,21,,,Kaiserpermanente.Org,https://healthy.kaiserpermanente.org/front-door,1064,
22,22,,,Aaa.Com,https://member.acg.aaa.com/il.html,1065,
23,23,,,Progressive.Com,https://www.progressive.com/,1066,Do Not Sell or Share My Personal Information (CA Residents Only)
24,24,,,Bcbs.Com,https://www.bcbs.com/,1067,
25,25,,,Aetna.Com,https://www.aetna.com/,1068,
26,26,,,Humana.Com,https://www.humana.com/,1069,
27,27,,,Allstate.Com,https://www.allstate.com/,1070,
28,28,,,Cigna.Com,https://www.cigna.com/,1071,
29,29,,,Anthem.Com,https://www.anthem.com/,1072,
30,30,,,Uhc.Com,https://www.uhc.com/,1073,
31,31,,,Farmers.Com,https://www.farmers.com/,1074,"Do Not Sell/Share My Personal Information
opens in new window"
32,32,,,Metlife.Com,https://www.metlife.com/,1075,
33,33,,,Hcsc.Net,https://www.hcsc.com/,1076,
34,34,,,Comparisons.Org,https://comparisons.org/,1077,Do Not Sell My Personal Information
35,35,,,Esurance.Com,https://www.esurance.com/,1078,
36,36,,,Ehealthinsurance.Com,https://www.ehealthinsurance.com/,1079,
37,37,,Scholarship Websites,Collegeboard.Org,https://www.collegeboard.org/,1080,
38,38,,,Ed.Gov,https://www.ed.gov/,1081,
39,39,,,Mygreatlakes.Org,https://mygreatlakes.org/,1082,
40,40,,,Studentloans.Gov,https://studentaid.gov/,1083,
41,41,,,Colleges.Niche.Com,https://www.niche.com/colleges/search/best-colleges/,1084,Do Not Sell My Personal Information
42,42,,,Aessuccess.Org,http://www.aessuccess.org/,1085,
43,43,,,Salliemae.Com,https://www.salliemae.com/,1086,Do not sell or share my personal information
44,44,,,Fastweb.Com,https://www.fastweb.com/,1087,
45,45,,,Collegenet.Com,https://collegenet.com/,1088,
46,46,,Food Websites,Allrecipes.Com,https://www.allrecipes.com/,1089,Do Not Sell My Personal Information
