,Unnamed: 0,filename,Number translated,step1 present,Text translated,Text present,Presence confirm,Text,Index
0,111,com_50,o/o,No,ional information CA Residents Only 0/0,Yes,Yes,California residents: do not sell my info,50
1,181,behance_899,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,899
2,200,behance_898,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,898
3,208,farmers_1074,o/o,No,1al Informationopens in new window| 0/0,Yes,Yes,Do not sell or share my personal information,1074
4,389,tomsguide_673,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,673
5,412,tomshardware_610,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,610
6,507,potterybarn_107,o/o,No,Do Not Sell My Info| 0/0,Yes,Yes,Do not sell my personal information,107
7,685,tomshardware_665,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,665
8,776,adobe_647,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,647
9,778,imore_671,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,671
10,875,behance_920,o/o,No,iell or share my personal information| 0/0,Yes,Yes,Do not sell or share my personal information,920
11,895,pcmag_668,o/o,No,nformation(Opens in anew window)| 0/0,Yes,Yes,Do not sell my personal information,668
12,904,inverse_462,o/o,No,"not sell

o/o",Yes,No,,462
13,965,com_152,oft,No,Do Not Sell My information| o/1,Yes,Yes,Do not sell my personal information,152
14,1051,lonelyplanet_554,o/o,No,ell or Share My Personal information| 0/0,Yes,Yes,Do not sell or share my personal information,554
